"post_id","cluster","x","y","z"
"3081","47","17.183479310","22.527315140","-19.662708280"
"3083","47","17.073488240","21.825227740","-20.284845350"
"3085","47","17.317499160","21.042881010","-18.524627690"
"3087","47","17.247894290","19.788053510","-19.017450330"
"3089","21","13.103010180","21.494882580","-24.861654280"
"3091","47","19.181751250","22.641042710","-18.174106600"
"3093","74","30.426467900","13.880901340","4.242714882"
"3095","79","39.985862730","10.543364520","-16.106279370"
"3097","51","-5.165602207","12.372636800","27.139776230"
"3099","45","-29.928205490","35.542739870","-15.412616730"
"3101","28","-23.616136550","27.774105070","-33.378490450"
"3103","46","10.412533760","-16.314888000","-9.740620613"
"3105","7","-45.718822480","2.858409166","-23.735639570"
"3107","47","-13.271438600","27.777174000","-40.618331910"
"3109","30","46.086608890","-13.929222110","18.034229280"
"3111","87","9.064139366","23.956090930","29.051401140"
"3113","73","0.851392806","33.389408110","-33.962173460"
"3115","26","27.385812760","9.575336456","-43.183406830"
"3117","27","23.985584260","20.361474990","-11.457927700"
"3119","26","27.349372860","8.399326324","-42.794021610"
"3121","26","24.034692760","19.616312030","-11.703507420"
"3123","44","17.447551730","22.814287190","-4.758013725"
"3125","1","-12.410576820","30.968006130","-8.352533340"
"3127","27","6.477144718","26.886774060","-29.824279790"
"3129","22","-32.067539220","15.240481380","-21.075574870"
"3131","22","-31.291297910","15.547874450","-21.406755450"
"3133","74","43.837074280","-21.556982040","-11.740994450"
"3135","14","25.186012270","-0.391900331","-23.227312090"
"3137","8","34.254913330","9.932599068","-26.330392840"
"2347","41","30.681566240","-26.793653490","7.650207043"
"2349","23","15.254131320","18.831811900","20.820747380"
"2351","69","14.145250320","13.060617450","-11.416993140"
"2353","29","-11.801539420","0.953392982","-8.276198387"
